,nTracks,B_P,gamma_PT,B_Cone3_B_ptasy,B_ETA,B_MINIPCHI2,B_SmallestDeltaChi2OneTrack,B_FD_OWNPV,piminus_PT,piminus_IP_OWNPV,daughter_neutral_PT,daughter_neutral_IP_OWNPV,daughterplus_PT,daughterplus_IP_OWNPV,isSignal,weights
1,0.387523629489603,0.055550520235800815,0.02304527713690093,0.19202112340506758,0.31415639005522195,0.44945482298563716,8.471083393956281e-05,0.009708405033258798,0.06281762663582595,0.0010096852373888828,0.023230797462399293,0.0024558741334527396,0.022972455893186382,0.002950763264705621,0.0,1.0
2,0.41965973534971646,0.07056554697847624,0.031942403032160664,0.46677941136445333,0.1970767616234416,0.8286668064975452,0.0007023199192379906,0.01464616673838608,0.15967589649836628,0.0005337477371857154,0.14378378544739628,0.0008965613774032544,0.08656216670512963,0.0018126955282743366,0.0,1.0
4,0.3780718336483932,0.017165885726319684,0.029142978912780147,0.27894988646721314,0.28090542222446985,0.7091138312541554,0.0002482060014091457,0.0024576818102374624,0.002602356471209897,0.0033562802531001286,0.03562387522015006,0.004814921925178101,0.08338536333046287,0.0035229794759225777,0.0,1.0
5,0.42722117202268434,0.31359043546509036,0.08114787649291387,0.6230931941236801,0.7575579905899109,0.160746864186689,5.541996034853762e-05,0.013995289275562053,0.07941696373227265,0.004036396645380375,0.031907784649019014,0.004865631474892684,0.018862659151466395,0.0023963225265621045,0.0,1.0
7,0.3270321361058601,0.16111194212214835,0.02125546577151431,0.3692547631854022,0.4779227762031329,0.9264737645106164,5.358983683281045e-05,0.018097391698754687,0.01555123806821565,0.001803457800657014,0.04173269711841518,0.0017449260014257637,0.08164472649790702,0.002508686483705088,0.0,1.0
8,0.22873345935727787,0.02240069593725432,0.025227979679206525,0.5223963381599656,0.2065985359575381,0.5302793143746952,7.571312686355918e-05,0.007740317317158901,0.017997569527682316,0.006385379377332027,0.07312985079487681,0.005294371016657321,0.1148938226415531,0.002987966999839373,0.0,1.0
13,0.45746691871455575,0.13196761541057023,0.019054752187180855,0.22085927857461618,0.728602672029174,0.07804847643219744,5.63550177528304e-05,0.01846688921213546,0.08238696034611116,0.0038930918460260058,0.03039830954862811,0.005039903404215911,0.014464355191553842,0.002760284821528547,0.0,1.0
16,0.30623818525519847,0.057531638706400615,0.03815567737725135,0.1475999068141494,0.4842666072058307,0.2990955013859571,5.9505971107565524e-05,0.006579749073820085,0.051369311519266415,0.005621950331765529,0.010944996006036382,0.005888706531665832,0.01601467901208893,0.0025776111026435036,0.0,1.0
20,0.33648393194706994,0.04975510294360108,0.07102700016462393,0.212612264850206,0.34507688304218637,0.1829080688751986,0.00018919297138954462,0.0017092116508581707,0.05403782248426498,0.0020028217315120555,0.03382701677565785,0.002523995194281404,0.04144647892789125,0.0018563259697052866,0.0,1.0
23,0.2665406427221172,0.046601404512525285,0.048059782135719854,0.21501603894909574,0.42689512267044055,0.4187948287008041,3.846289552440294e-05,0.004254252658894519,0.06454048820240121,0.0024333290060972487,0.023886391965214235,0.0035457501580443288,0.02131375495218557,0.0029802934584461207,0.0,1.0
25,0.27599243856332706,0.07236850493198488,0.0905263568150158,0.31901275814051305,0.18726859821765968,0.34719352484053834,6.595903466698168e-05,0.0005930976579502009,0.03551312769018256,0.0013139547812822097,0.13660406370107142,0.001205760871297054,0.17542191578163505,0.0009071673989105597,0.0,1.0
26,0.31379962192816635,0.19653762190815402,0.18722938916507842,0.34107659452476774,0.4445597757471164,0.2646889675730523,5.611839481435171e-05,0.011748198366926923,0.05576043613011666,0.001405099535246858,0.022787650858913433,0.0016147357000286145,0.026236131845191527,0.0011023375104923184,0.0,1.0
27,0.18714555765595464,0.09664423183220483,0.009257126815863118,0.5583317069472857,0.4968148023680803,0.8717097796015221,0.00035389013869961206,0.030737625014650653,0.05346436399820002,0.002828856613543393,0.015346918588110424,0.004396862233906681,0.01936499643319433,0.0035148848159610845,0.0,1.0
28,0.19848771266540643,0.07951509664518425,0.12966475567348118,0.38260459248455875,0.2079862308729286,0.5721979564067738,5.118758635363263e-05,0.005710422748096155,0.1616287616530345,0.0008813760295799549,0.13706458579863462,0.0014857031425206716,0.07711964125362442,0.001617079376863406,0.0,1.0
30,0.32136105860113423,0.06455676851622254,0.06702327089342293,0.2051412403501927,0.5729643629227297,0.09862014186885582,0.0004259114616851541,0.008093450544231023,0.014997508146872698,0.006035693115530595,0.007448955896706704,0.011685530196372144,0.040423414384237875,0.009559706453241437,0.0,1.0
31,0.3988657844990548,0.1985265820082314,0.080201603130094,0.38438418504705213,0.5005343343540378,0.0,4.599580188166083e-05,0.0030711450235301903,0.008075963089120484,0.0024924844500469755,0.01595717476287125,0.004642197973465056,0.05514178773780511,0.004079942037907343,0.0,1.0
32,0.16068052930056712,0.052872040763714614,0.031199582404541445,0.44169658182861526,0.5775276245074378,0.3303592288467784,6.117802108229481e-05,0.004273631970655914,0.02027417665545261,0.0033206213553718515,0.01890581118576915,0.0021093070697467617,0.04908678130917195,0.0011851880082146304,0.0,1.0
33,0.29867674858223064,0.2613046018421239,0.08040080821616259,0.5038618375585499,0.47192954497830136,0.7550776257136189,9.174611464171844e-05,0.031808143091189636,0.11310453356141541,0.0014598358490291114,0.1257228589037256,0.001375074178361254,0.10248385950064438,0.001203645339804048,0.0,1.0
39,0.22684310018903592,0.14308018521630309,0.02824138827913888,0.2665485217477215,0.7252836128514638,0.7917903281053742,0.00010222211532509336,0.01780626326245489,0.04497529391109545,0.004915981618353693,0.020392337609610192,0.007433543344107305,0.03346380799158966,0.006073127760950657,0.0,1.0
40,0.391304347826087,0.20906272194712558,0.029161845181065797,0.3662337767055037,0.7191134340013454,0.23834958169529033,6.030970930156402e-05,0.026102940946817567,0.06805976999614059,0.005896814272619262,0.030356618226213022,0.007278829159835011,0.027331476731712497,0.00391232451437131,0.0,1.0
41,0.5916824196597353,0.032860661283587944,0.08209707414929639,0.35829117269093447,0.24312249466625976,0.018187237382584286,4.6534765225402194e-05,0.0005829031828301812,0.04475454779042789,0.0025059512406444165,0.04626922585198594,0.001764988995601384,0.06353187415961982,0.0011250431403344514,0.0,1.0
44,0.20982986767485823,0.10532655066856769,0.050704416420599016,0.36117439470562407,0.7012615372597573,0.9655460361233423,0.0005164789881948394,0.013870494267785137,0.008907664466524943,0.012408673950200674,0.009407964273843961,0.021195478013564042,0.04932717442671404,0.01637034852068582,0.0,1.0
45,0.22306238185255198,0.14580957411730294,0.014189219662554733,0.34375714151084336,0.7118345539144428,0.995463150072476,0.0012437125615483169,0.05018664893703238,0.0030440402492206134,0.007443240572063335,0.041110513985691585,0.022529479157928172,0.08917162284269337,0.01800285392223899,0.0,1.0
50,0.2514177693761815,0.06360045828666494,0.05796611256282374,0.3161524519077321,0.3705838315459429,0.056003424554502246,7.645227366724481e-05,0.005080269681025964,0.047675097043732184,0.0026124991103537733,0.006984551892468877,0.002947588224134752,0.015466994645339042,0.0016328533168107461,0.0,1.0
51,0.19092627599243855,0.060657373768369306,0.04979645781590148,0.6466292158743991,0.193623455771833,0.8845007300714604,5.935742248217331e-05,0.004198936730178968,0.18011850880877409,0.0008165291825847942,0.15793022555608552,0.0009531823072672153,0.08708457365480132,0.0007558319345804294,0.0,1.0
52,0.502835538752363,0.05515985992425723,0.0036609742566702064,0.15849076330626083,0.44794860723936214,0.24108449081160102,0.0003682158254135107,0.018469455841095904,0.004347163289477205,0.00831477471787827,0.01932937504478382,0.01941231036504613,0.06190077741480184,0.014537061506710466,0.0,1.0
54,0.3516068052930057,0.03216913466768837,0.04122403771967017,0.16829874793802926,0.2778115965006135,0.7423875440596014,3.835795231872512e-05,0.006988016972253854,0.02461520059205261,0.0027880081846258964,0.012214353045987926,0.0018220139868783136,0.038102049725268476,0.0008753356681656689,0.0,1.0
55,0.3667296786389414,0.03836827106398716,0.03452961769802214,0.1976796579316722,0.46627469622030043,0.17854220342277152,5.284015030942657e-05,0.004289575842760315,0.010859244747407317,0.004390897131228487,0.011858064306316023,0.003984231332573343,0.04812266246677037,0.0025174085830729515,0.0,1.0
56,0.6313799621928167,0.060269458673883815,0.07983660004264326,0.17113251143061384,0.40762186862672134,0.8539136784369871,9.197618141165172e-05,0.029001070378035728,0.04833835386382223,0.011126542770294512,0.005376276841183829,0.01818511374536346,0.013271253638705073,0.013235490503291618,0.0,1.0
57,0.43289224952741023,0.04287519659481727,0.006481273267219204,0.19544038587478996,0.4782350980407787,0.03182016023307561,6.50652148061873e-05,0.005219125630348451,0.0819964369165952,0.003928784665559919,0.04406660978307745,0.006263280316401266,0.03192573409825037,0.005148222767115462,0.0,1.0
58,0.4612476370510397,0.12260908528234661,0.009580969266928741,0.2113391725163609,0.4896496823820837,0.7428355744041389,0.0003835655740818735,0.050242178211271034,0.017123775475808286,0.003750977804607596,0.005536033854961543,0.007631590091771357,0.03958362272560886,0.00836403061058938,0.0,1.0
59,0.45179584120982985,0.07967320586177928,0.045156772114819,0.3099648011191894,0.6435429417989446,0.16487854117752798,4.270987735716672e-05,0.0046367864219656555,0.0403804483189553,0.005284136428123609,0.008608889498171861,0.005657225752384447,0.02288353862215716,0.0029262424277613384,0.0,1.0
66,0.24196597353497165,0.035878018574856195,0.045195192773015105,0.2917827543109247,0.3235983680073045,0.2446894030515872,4.0076171428771054e-05,0.0013631982194320744,0.012538398860243825,0.002543815821918883,0.032841660241494784,0.0023201557259187344,0.07326374042686178,0.0017490521738038767,0.0,1.0
67,0.19848771266540643,0.058227020599081185,0.030784053568992296,0.40295932968775067,0.3568801160397763,0.562812232648657,5.6290461969678675e-05,0.01166191424690537,0.08232846994197383,0.0019726509391970195,0.03416908464401218,0.0020833350825545296,0.019164067030468995,0.0012545903991951501,0.0,1.0
