,nTracks,B_P,gamma_PT,B_Cone3_B_ptasy,B_ETA,B_MINIPCHI2,B_SmallestDeltaChi2OneTrack,B_FD_OWNPV,piminus_PT,piminus_IP_OWNPV,daughter_neutral_PT,daughter_neutral_IP_OWNPV,daughterplus_PT,daughterplus_IP_OWNPV,isSignal,weights
0,0.14555765595463138,0.15469065126287407,0.06264458080187126,0.48241374666050063,0.413333388930331,0.022371187077283423,0.00027237258167669753,0.018757934104680803,0.0693751570784917,0.01353345683490563,0.06723259497586365,0.01766590223739682,0.07006909561467743,0.012202894180684204,1.0,0.5506148845617537
3,0.1720226843100189,0.044905338930934006,0.04960247946357692,0.4320770229254938,0.24225755849984987,0.019576199971096317,0.00019239574651642777,0.016552840475887395,0.00942285150945816,0.0200344756209778,0.04499654912304152,0.017055382653453972,0.09144078703179478,0.009738650552828867,1.0,0.6882214466118466
6,0.13988657844990549,0.14486197612658874,0.014719140768192118,0.5012171765707906,0.47642712076087224,0.09457314279525869,0.000544233132376163,0.007804615020668761,0.07659330020350927,0.0012843572419397797,0.09137050349915102,0.002548733488398537,0.09080780910837441,0.002496199020535153,1.0,0.4719340105790802
9,0.277882797731569,0.11676091140645234,0.19957682724164796,0.39345276477335045,0.29176270066036936,0.050024498088621416,6.720709237040425e-05,0.005706777026427066,0.07443690882880179,0.004533348474129888,0.04116158239474333,0.006888780309461445,0.03441488551908458,0.006222207819115279,1.0,0.726519547656348
10,0.08128544423440454,0.24439877923946346,0.32561209195122426,0.8596154321140119,0.3602212251879625,0.6978953606186669,0.00033362015689738947,0.026770112353182766,0.03689745630824007,0.015448879393707676,0.07403491189993279,0.020675624690036098,0.10378549871726558,0.015736002215608218,1.0,0.6100406475933641
11,0.4215500945179584,0.35527286755130794,0.5311501019554073,0.4680856633892553,0.3752946844725534,0.19883183269800792,0.0006838820326980435,0.0203780453424979,0.024136447732280204,0.009388568039371083,0.0766601329488455,0.008931759452076237,0.11386119797464389,0.006483527344864339,1.0,0.8010475928151312
12,0.17580340264650285,0.10136149933289483,0.008987213023181109,0.45677275709498993,0.3745194411511118,0.09032744301359787,0.00047014776908066186,0.015735891420565418,0.1322232208150648,0.006710540526177493,0.11702969147366511,0.010502539291937724,0.07859991488636123,0.008295123162233057,1.0,0.4050841996829755
14,0.19281663516068054,0.3731020135502757,0.10250595525565069,0.6040681342998507,0.700035705959112,0.13880454836108297,0.002957596891403906,0.0792590856298057,0.008973950998085872,0.01271430323195635,0.02111096110262317,0.034194512569333445,0.06393396201665917,0.02797072397357394,1.0,0.939963674074732
15,0.28544423440453687,0.2821776175505138,0.4607062103030211,0.38201432750438175,0.35686840664545066,0.25411358632552516,0.0018497854696457167,0.018493088345243734,0.019147658013630886,0.008818708940738804,0.04843566134520647,0.009917578678504511,0.08556648386641304,0.006431555453555255,1.0,0.3793867380229613
17,0.10775047258979206,0.07520657239392586,0.2880222746190451,0.9399401186189215,0.1267236936154991,0.13390175353232786,0.0005010115222517388,0.006864446871502108,0.10343163128725372,0.005878158218918406,0.07657602140304434,0.009431992973292103,0.05412455580098093,0.007940806820094232,1.0,1.1575102681400808
18,0.2570888468809074,0.0974887511176696,0.011442885718104229,0.35349826721318434,0.4870463753360932,0.11081055208477383,0.00017925168344504964,0.0077868954929545655,0.06427663452975312,0.005216892813396225,0.038122370329669586,0.00892223768950313,0.038468250325381426,0.008417304441611841,1.0,0.7159158339103618
19,0.15879017013232513,0.18889259161664515,0.24561797276822836,0.8203571456833442,0.26719035429103,0.10448274325961386,0.00012024313992775254,0.0032526862590205015,0.2742965611990574,0.001642732661835807,0.1935059858266159,0.0017297714082118397,0.057130293585915176,0.0007148303866576676,1.0,1.1115316525187289
21,0.05103969754253308,0.09251630924637641,0.1052903930248618,0.9756187171190752,0.22749342008733983,0.008486784350188506,0.0003386621665223572,0.00810697155592814,0.1625445070896128,0.009018729089327012,0.10757106921765539,0.010494556395800339,0.04381124647444232,0.004698904119141207,1.0,0.7012095500482118
22,0.23251417769376181,0.38464497009562915,0.28472445594781565,0.65756179737425,0.4626962591514593,0.05325832004056819,0.0018266856799260003,0.033418432418647316,0.145389291816427,0.006602319244719783,0.12362935756195849,0.01326664630149869,0.07411748347338735,0.013778455920356912,1.0,0.8013119691191138
24,0.0888468809073724,0.1635126925138641,0.24856118127068114,0.8960144764194956,0.2477235764142401,0.20338337074706117,0.00013386536266432573,0.008186058004937772,0.15382462449039264,0.0031549785178286716,0.19883733482909272,0.003052108168660723,0.1558456080112825,0.0013690956631944974,1.0,0.6606567681912656
29,0.27032136105860116,0.09480895847725991,0.3069068659277482,0.6136514498480994,0.18017870159730245,0.04191516137361978,0.001340076221748811,0.008670865742157738,0.05218115188845817,0.005379455867963598,0.049429532074959225,0.014437434135662973,0.061544608205893185,0.010606302091451275,1.0,1.933811444885133
34,0.389413988657845,0.09574454874110311,0.2628033898043025,0.4948626175550387,0.1810251691768446,0.21796213934755598,0.0011927834253229433,0.023772529877416175,0.08251336185020611,0.011767403177016926,0.08779335596446085,0.026494756739081568,0.08389455427041351,0.022653597513450936,1.0,1.308592524522888
35,0.31379962192816635,0.11325830983411665,0.044871101499270254,0.3683755705115462,0.48720028630197515,0.12588827768111463,0.0019807702574825485,0.05763657548956736,0.09955987503170943,0.042125464517827414,0.03227771238990296,0.05414488038487901,0.0045654522372516855,0.03155646560215569,1.0,1.2355688585093167
36,0.24196597353497165,0.1524749360049582,0.2837284747863149,0.5824120609492056,0.2668647091600404,0.051403651803997516,7.708061988724464e-05,0.0033788929709513693,0.08461376234411219,0.0016615966822339178,0.08474712627684063,0.0022775135987086036,0.07744548096050546,0.0019227712630561745,1.0,0.7368853955387429
37,0.0831758034026465,0.03696135409928615,0.017523071790481626,0.5429291204224489,0.3198707430707882,0.1779562478056209,0.00037987086822022334,0.012232407903765875,0.08155464056822544,0.017007867323319523,0.04427961694161461,0.020448375974800495,0.031480586604476966,0.012108009515939475,1.0,0.6011121075167375
38,0.09640831758034027,0.09020754457910486,0.04180123980140998,0.28870303208916875,0.2995773662935715,0.018899047783259532,0.003517346591998386,0.010600956219190874,0.05502875046129818,0.004562366747069226,0.12685635874540382,0.005695960295374553,0.14793193428332327,0.004076761623841834,1.0,0.2797761137730397
42,0.40831758034026466,0.098737150844907,0.41869900156279577,0.7920409427837438,0.09975142193495072,0.4866737325937295,0.0012635095734290808,0.01100085043273149,0.10534581981924006,0.01118646071084416,0.11183383555442321,0.011732176324284218,0.0933041289730682,0.005659173831872213,1.0,4.871012026340609
43,0.4007561436672968,0.06485916205840617,0.2667345173549872,0.6119739141965982,0.12733927789896426,0.11046262022385389,0.004726819592249169,0.028555669517372182,0.004434954589774988,0.0464849405035447,0.06086184285311584,0.0997525482450316,0.11032584003008587,0.0756430443981166,1.0,2.856174744999377
46,0.10586011342155009,0.01750026223426484,0.04575391071203271,0.6141527119696338,0.23566040670505406,0.22769680566929593,0.0007171887575879601,0.006321362717001298,0.06326799756883474,0.016717600527335896,0.01974523513377834,0.018426848884551306,0.016985634112519497,0.008521120324402491,1.0,1.012210971844554
47,0.4064272211720227,0.19483962063228022,0.08206432014956787,0.3960711064273058,0.4741891243884281,0.6035794377411047,7.014892931864342e-05,0.014068167597884948,0.05148414844364591,0.0036403910778777062,0.04238092668795677,0.0033855567247025593,0.05637967763765947,0.0015378133395244269,1.0,1.4354076263845037
