,nTracks,B_P,gamma_PT,B_Cone3_B_ptasy,B_ETA,B_MINIPCHI2,B_SmallestDeltaChi2OneTrack,B_FD_OWNPV,piminus_PT,piminus_IP_OWNPV,daughter_neutral_PT,daughter_neutral_IP_OWNPV,daughterplus_PT,daughterplus_IP_OWNPV,isSignal,weights
9847,0.14366729678638943,0.09339316564336071,0.0359944746121947,0.6554729841365837,0.2616962435477855,0.5730818576076099,5.969004677798786e-05,0.02067222506792558,0.13467627768899096,0.0012788995831437859,0.12856458371972798,0.0012554275894929284,0.08812434948823586,0.002536377223616114,0.0,1.0
2315,0.09640831758034027,0.13033426308555934,0.29035343430211374,0.7695794598817648,0.251591651810263,0.1179565646441167,0.017541670245993454,0.014230127336715867,0.06992377821123766,0.009465114516277089,0.03515652160338443,0.011266453803010192,0.03230716969946107,0.0043319636274316954,1.0,0.9234461713737058
5871,0.20793950850661624,0.08277111090875071,0.01714732855163838,0.533859034459341,0.2963248565994599,0.4043413994112157,8.422091500940038e-05,0.006750813102455105,0.16617491464716247,0.0039646015327964605,0.13371796896858548,0.004967408568188731,0.06997336374748134,0.0032784923583907485,1.0,0.6284168670912147
272,0.13799621928166353,0.09478967557974852,0.024376864806861114,0.6705563346355212,0.2666747959054346,0.11989637556532541,0.0004113289405179331,0.006031079060415019,0.10429122965682476,0.00475838751726238,0.1488888446302258,0.005311443081772765,0.13761589596378604,0.0033613411063497314,1.0,0.6609933640530007
10006,0.022684310018903593,0.03147786507532032,0.005304618786916242,0.7952810455039985,0.18690919693980693,0.06703849791971724,0.015258916224574232,0.008228683195814922,0.1395774806528707,0.011038580977543415,0.09427949389092992,0.015292707714188154,0.04684015404397408,0.011056094600405908,1.0,0.5125015469650096
9951,0.10396975425330812,0.1068706013406153,0.10559904341752198,0.7632096218827042,0.177533723134804,0.28094777497236567,0.001417811497097245,0.015823695386498297,0.13350576021250224,0.0023272592183438967,0.250571740146915,0.00539951676890435,0.23065772081924785,0.004409740514873409,0.0,1.0
4608,0.19848771266540643,0.03344956182926641,0.05037289904777184,0.432606363998896,0.3838277111074569,0.1359911359547235,4.237053220968649e-05,0.0011884092879514874,0.0019590168119982525,0.002715970203023152,0.006895466267214356,0.005615604235967747,0.04935642035478396,0.004503173117724674,0.0,1.0
12480,0.022684310018903593,0.10463180803134618,0.006171107709049685,0.7558120058194396,0.5753113612932923,0.18104791032191692,0.0,0.0029748307115889153,0.07025677596324742,0.003588779216370119,0.032049453961392964,0.00429513513821859,0.026034136781275075,0.0021813883480465614,0.0,1.0
18169,0.3950850661625709,0.2973036556498027,0.05180579082508683,0.26083916484279623,0.7143832922765693,0.7623833469693255,4.092548678903221e-05,0.022766670056028903,0.04363072108410905,0.0062931617917943205,0.043675588784599824,0.0069606845126887725,0.06227837396287802,0.003961605416781371,0.0,1.0
562,0.16824196597353497,0.07682164695841477,0.03982606819538413,0.25039623769921593,0.3943860219064764,0.09935516889194256,5.364013194792451e-05,0.0014847468645896808,0.04429997963240051,0.0011961225579436437,0.048434391535351624,0.0012217157753551169,0.06532100420350703,0.0013984409712507046,0.0,1.0
