,nTracks,B_P,gamma_PT,B_Cone3_B_ptasy,B_ETA,B_MINIPCHI2,B_SmallestDeltaChi2OneTrack,B_FD_OWNPV,piminus_PT,piminus_IP_OWNPV,daughter_neutral_PT,daughter_neutral_IP_OWNPV,daughterplus_PT,daughterplus_IP_OWNPV,isSignal,weights
8870,0.30812854442344045,0.16001750360205488,0.06613519146178111,0.33914609352013025,0.4646740202640803,0.905812643991827,5.1155499850547916e-05,0.010365963553761242,0.03675612692524231,0.0024075757870055483,0.015082017750756944,0.004224937813404002,0.032479549640979294,0.004650244638407786,0.0,1.0
2229,0.1947069943289225,0.18542693172184746,0.002867781622267325,0.27933161633327824,0.6985747136094562,0.20541726824159035,4.400367245907708e-05,0.002302090109519813,0.049264988984701594,0.001362581573952197,0.01072538477933091,0.001750157570997193,0.0174433864918954,0.0015096725025842118,0.0,1.0
4827,0.33648393194706994,0.19665907999163312,0.1261482898994886,0.5022106619879304,0.453297666302341,0.7997092931575027,0.0006873722466332512,0.019164224633160646,0.07917624696877298,0.004235867516136583,0.06488370941849622,0.005492225819844922,0.05786207100006802,0.00440825971871254,1.0,1.6554879916848817
7326,0.1001890359168242,0.09778109350954951,0.006476771931256457,0.2677454029952321,0.5846652234876971,0.20536724388555744,0.0005419893115095945,0.019259212903634644,0.04202011865733361,0.01956043188886526,0.022179574093735145,0.022103751218396656,0.036838109672583094,0.012486353737246868,1.0,0.3680800257291218
16092,0.2646502835538752,0.32414549933846803,0.19492531235256227,0.3169814666627979,0.5695300389608261,0.03941035680278691,6.140231504122784e-05,0.04625166671296737,0.055384308602776634,0.007498353447098252,0.012571691043438126,0.01244650530806414,0.015136425008078385,0.00984981371012752,0.0,1.0
15952,0.2514177693761815,0.05912366429589849,0.029014686212376597,0.5458055156623449,0.15014249071707056,0.15533838036816705,0.003864135558944147,0.0170784463229414,0.18864773977133514,0.005622565400394245,0.17821197266249028,0.008823664359837868,0.10408415967500226,0.007202154252416882,1.0,0.8051555785125577
14294,0.18525519848771266,0.06147881586543043,0.20263774839390633,0.694741027384794,0.14041046508661256,0.23812161639364504,0.00019951830037054415,0.002024791032952136,0.033748989407185355,0.001663694619733926,0.055940277927593575,0.0018621336788993946,0.08386076116581072,0.0013879760258049452,1.0,1.4326004849480838
3508,0.18525519848771266,0.23560939504867567,0.46608732400338726,0.809756415879387,0.2928984880871817,0.4075238612353731,0.0,0.013216554635034534,0.16248897150202535,0.0070280585416256395,0.07799680074560318,0.00869614871736605,0.008629853080342264,0.0056737527840046474,1.0,1.4221954506467722
9752,0.6483931947069943,0.24637478525471804,0.11958986233130811,0.42857001654132776,0.5692109315068091,0.060190552090031546,3.820177263361051e-05,0.0026539536234017496,0.04175129897345019,0.002844634575948677,0.006793483047497726,0.002578508745083036,0.020291123369923985,0.0012283820366060223,0.0,1.0
3198,0.23629489603024575,0.1956758448218886,0.07646607309316461,0.5155256726748679,0.43235408691659843,0.17128554492385045,4.919488054012789e-05,0.006997068671116576,0.04388760369171877,0.002210343231374556,0.12467371522733671,0.0014511677690700643,0.15560057932859583,0.0008276132800072763,1.0,0.6460516991876304
15467,0.33081285444234404,0.12256139962219058,0.032365416835373945,0.43572281666703044,0.3618280859513456,0.4260592136829479,9.045014750297838e-05,0.00954794461081067,0.11932660710709964,0.00033086095647205465,0.09548936517814488,0.0003666174926494792,0.06149391070728874,0.0006216150567304485,0.0,1.0
1750,0.24763705103969755,0.02850644413607952,0.06384993248901584,0.32776820547216284,0.324707083735026,0.931095435337518,6.138873536014703e-05,0.00379332453249905,0.04167946282343743,0.0058409947055943125,0.02180609889428398,0.007860219822559304,0.036796673761484835,0.005279465535821199,0.0,1.0
13255,0.3667296786389414,0.07305976515614676,0.07795893125305679,0.3771151836224069,0.2853072885607959,0.12109111366245578,0.00012905615265890896,0.012093621715346942,0.025783157304914754,0.0101853827435288,0.07123597138751388,0.011347029430335642,0.10762096071337206,0.007340773244490039,1.0,1.200654352543143
7624,0.04914933837429111,0.1932433937212305,0.04515060751751157,0.6112880069258717,0.5815922181025227,0.029298044374634367,0.00012309445457057668,0.021184489961929332,0.09113575188594664,0.01257079625888281,0.02929950894778098,0.017456464807673683,0.010195594011022682,0.0127529658586753,1.0,0.5825548390071095
1485,0.2060491493383743,0.05659732942995885,0.04189432494823692,0.4405901834485528,0.40648638943719434,0.6969479874926452,0.0006668368134447098,0.011384929140239966,0.0427859234803323,0.01158963842992514,0.01666104517249365,0.015521081210788597,0.031026284668802022,0.010552604369478281,1.0,1.1440017238330713
7562,0.14555765595463138,0.1299352305843598,0.04757757193617156,0.4656695921032785,0.4571201816268757,0.08122201228174379,0.0003305926224140701,0.0099055467919511,0.05432298906597635,0.008669349319550235,0.041038584244095455,0.00983029665035658,0.050255511199066884,0.006279548605389551,1.0,0.6085023929001084
10009,0.14366729678638943,0.3024431344499639,0.05870548729375727,0.6593973380164458,0.6797664357843427,0.013817707135162385,5.561281318418163e-05,0.01254622000704596,0.06689011407859306,0.0019552158489843773,0.07022068091141773,0.003759603149171273,0.07559693504589077,0.003287163425985836,1.0,0.5471421594942741
8598,0.11342155009451796,0.12741620257908765,0.009798050491446058,0.4504159169454129,0.4509951323124431,0.18366755252832373,0.00013903765889191464,0.00936444928077499,0.06719728578012392,0.002787665477228183,0.05134017004363672,0.0020114928303545773,0.05160508167501171,0.0008191949054906102,0.0,1.0
9079,0.2646502835538752,0.08873808205597389,0.23905695298861612,0.42855942792136803,0.14093863441332616,0.12000565558911601,0.0012532747934588672,0.012320641177178647,0.15174982128771886,0.006642387690209895,0.15511030345047183,0.012452006329422765,0.1059968700117217,0.01117873286869265,1.0,0.3687188969723681
16140,0.21550094517958412,0.10481341049095785,0.1330579247087586,0.6604161386095165,0.20382114864586443,0.0014887848994988206,0.0005412681952821326,0.007639476069268016,0.2807130723849697,0.004236775857514127,0.17477271485529394,0.006380453874197097,0.030541560953266222,0.006202336905766454,1.0,0.8705251780763771
9958,0.3572778827977316,0.31487293979377573,0.05374156464141049,0.4945064197142959,0.6044783290764318,0.9685588041904637,0.00015129471197206692,0.033766862236248786,0.06951368368896707,0.004381792873690962,0.04894784865030416,0.0023829021859410014,0.046427574222413885,0.0013273909828403637,0.0,1.0
16095,0.2741020793950851,0.15631503165676539,0.023792917893508982,0.2563087792054072,0.6258902726422975,0.12603702412623208,7.506600676784685e-05,0.004909459833749313,0.03656040909158375,0.0020166070108765216,0.049148175731546985,0.004248778647446562,0.07240839733186606,0.0037116980180177737,0.0,1.0
11669,0.5444234404536862,0.07147537821012553,0.0684038600878079,0.24090838459234548,0.411456185189974,0.8558024257458401,6.52773400177998e-05,0.002905224712694142,0.06698193952652928,0.0021842681711032644,0.023394442890554284,0.003239903524034409,0.0182348104553216,0.002597496101179876,0.0,1.0
14664,0.14555765595463138,0.06198536329212943,0.14350946316276633,0.7933585178126217,0.11466171888055639,0.56698879262147,0.0007265841343413957,0.0045829512967703635,0.1755080632683978,0.003088127096887289,0.17624492692211205,0.002904138462227873,0.1143312194408739,0.00132191480328534,1.0,0.9291440763209374
16017,0.11531190926275993,0.07739699041825063,0.05654239820899736,0.5995088304144612,0.2901209516533964,0.5606097264648243,0.0017598639994678045,0.017001233080722898,0.1785430037516403,0.005103221900094825,0.08282541731676259,0.007937065243130719,0.002119804593586628,0.009186678508643728,1.0,0.6617212168920249
3822,0.22495274102079396,0.03339649221002687,0.028436752950656605,0.1679061671719629,0.48441411306832066,0.5836744905144554,0.00020124056534427497,0.007960466520899906,0.0012417469016100411,0.002962381037854468,0.009629899403407305,0.0076514657141056935,0.05523782221414726,0.006238762160206891,0.0,1.0
12875,0.09829867674858223,0.029974386048217255,0.007587687085817127,0.48020126088956755,0.26591619034192565,0.06450863119730196,0.001301523921093674,0.011045987869442633,0.11642900155699448,0.009172650002651087,0.06304293474232713,0.015760995167203536,0.02605776641043101,0.01741145305588828,1.0,0.4458341923022496
9919,0.3799621928166352,0.10317802187645445,0.027412756500621284,0.32562323433076085,0.4826174427564207,0.3372482631057398,3.787780532884878e-05,0.004460988834320041,0.04808523431399305,0.0018886161404149436,0.03682693524878788,0.002190444014358023,0.04988524349778975,0.0016729780977722012,0.0,1.0
17474,0.30812854442344045,0.13967752564578603,0.06635924308776735,0.2412038468059147,0.4027876120584546,0.18296528362787493,0.002801210239665159,0.035759515505794565,0.077392351370589,0.03438756064411567,0.04612664251957167,0.05565840581864749,0.03939830888026438,0.0468463426198074,1.0,0.381403908349613
122,0.6030245746691871,0.05013648854449745,0.027710349155860993,0.2846393550512798,0.30896229838203393,0.3010443125427933,0.0001528910166132554,0.00324742919896339,0.08071498724269266,0.006500252698431658,0.042561062583153286,0.007867435478534097,0.030149976317596933,0.004018590643041102,0.0,1.0
1416,0.054820415879017016,0.22921513379719147,0.022204816101060888,1.0,0.4399914902795133,0.013592151099006203,0.002595051898081143,0.01854176383799378,0.2421307199255091,0.003466158607327116,0.20860879184258174,0.0049644805890846876,0.09869432122883759,0.004069215402092531,1.0,0.5009735815160926
9315,0.40831758034026466,0.09869129970288318,0.009992027480204299,0.6099019693124558,0.5341968066835652,0.2630767571448963,6.48427635178434e-05,0.003032044503053778,0.0006953436369437265,0.004884681594527302,0.027486840954937017,0.00409180397378098,0.0764897449720173,0.0025320271141683905,0.0,1.0
